Surface Straight,Surface Unicode,Underlying Straight,Underlying Unicode,Description
ǽ,ChrW(509),·,ChrW(183),middle dot to ae ligature with acute (not to be confused with bullet)
a,"""a""",å,ChrW(229),a-ring to a
ậ,ChrW(226) + ChrW(803),Â,ChrW(194),A-CIRCUMFLEX  to a-circumflex with underdot
Ä,ChrW(65) + ChrW(776),À,ChrW(192),A-GRAVE to A-UMLAUT
â,ChrW(226),™,ChrW(8482),trademark to a-circumflex
à,ChrW(224),£,ChrW(163),sterling to a-grave
ạ̀,ChrW(224) + ChrW(803),Ä,ChrW(196),A-UMLAUT to a-grave with underdot
ạ́,ChrW(225) + ChrW(803),Á,"""A"" + ChrW(769)",A-ACUTE to a-acute with underdot
à,ChrW(224),ä,ChrW(228),a-umlaut to a-grave
ä,ChrW(228),à,ChrW(224),a-grave to a-umlaut
c̓,ChrW(99) + ChrW(787),ç,ChrW(231),c-cedilla to glottalized c
č̓,ChrW(269) + ChrW(787),∂,ChrW(8706),partial differential to glottalized c-hacek
č,ChrW(269),∆,ChrW(8710),increment to c-hacek (not to be confused with Greek Delta)
ë,ChrW(235),è,ChrW(232),e-grave to e-umlaut
ẹ́,ChrW(233) + ChrW(803),É,"""E"" + ChrW(769)",E-ACUTE to e-acute with underdot
ệ,ChrW(234) + ChrW(803),Ê,ChrW(202),E-CIRCUMFLEX to e-circumflex with underdot
è,ChrW(232) ,ë,ChrW(235),e-umlaut to e-grave
ẹ́,ChrW(233) + ChrW(803),É,"""E"" + ChrW(769)",E-ACUTE to e-acute with underdot
ẹ̀,ChrW(224) + ChrW(803),Ë,ChrW(203),E-UMLAUT to e-grave with underdot
Ë,ChrW(203),È,ChrW(200),E-GRAVE to E-UMLAUT
ə,ChrW(601),;,ChrW(59),semicolon to schwa
ə̣́,ChrW(601) + ChrW(803) + ChrW(769),‡,ChrW(8225),double dagger to schwa-acute with underdot (not to be confused with dagger)
ə̂,ChrW(601) + ChrW(770),‹,ChrW(8249),single left angle bracket to schwa with circumflex
ə̀,ChrW(601) + ChrW(768),¤,ChrW(164),currancy to schwa-grave
ə̣̂,ChrW(601) + +ChrW(770) + ChrW(803),ª,ChrW(170),ordinal fem to schwa-hacek with underdot
ə̣̀,ChrW(601) + ChrW(768) + ChrW(803),º,ChrW(186),ordinal masc to schwa-grave with underdot
ɛ,ChrW(603),|,ChrW(124),bar to open e
ɛ́,ChrW(603) + ChrW(769),°,ChrW(176),degree to open e (not to be confused with ring diacritic)
ì,ChrW(236),ï,ChrW(239),i-umlaut to i-grave
ï,ChrW(239),ì,ChrW(236),i-grave to i-umlaut
ị́,ChrW(237) + ChrW(803),Í,"""I"" + ChrW(769)",I-ACUTE to i-acute with underdot
ị̂,ChrW(238) + ChrW(803),Î,ChrW(206),I-CIRCUMFLEX to i-circumflex with underdot
ị̀,ChrW(236) + ChrW(803),Ï,ChrW(207),I-UMLAUT to i-grave with underdot
Ï,"""I"" + ChrW(776)",Ì,"""I"" + ChrW(768)",I-GRAVE to I-UMLAUT
ɨ̣̀,ChrW(616) + ChrW(803) + ChrW(768),±,ChrW(177),plus minus to barred i-grave with underdot
ɨ̣́,ChrW(616) + ChrW(803) + ChrW(769),‚,ChrW(8218),single low quote to barred i acute with underdot
ɨ́,ChrW(616) + ChrW(769),›,ChrW(8250),right single angle bracket to barred i with acute
ɨ̀,ChrW(616) + ChrW(768),ﬁ,ChrW(64257),latin fi ligature to barred i with grave
ɨ̂,ChrW(616) + ChrW(770),ﬂ,ChrW(64258),latin fl ligature to barred i with circumflex
k̓,ChrW(107) + ChrW(787),˚,ChrW(730),ring above (not to be confused with degree)
l̓,ChrW(108) + ChrW(787),¬,ChrW(172),logical not to glottalized l
ł,ChrW(322),®,ChrW(174),registered to l with cross
m̓,ChrW(109) + ChrW(787),μ,ChrW(956),greek mu to glottalized m (not ot be confused with micro sign)
n̓,ChrW(110) + ChrW(787),∫,ChrW(8747),integral to glottalized n
ọ̀,ChrW(242) + ChrW(803),Ö,ChrW(214),O-UMLAUT to o-grave with underdot
ọ́,ChrW(243) + ChrW(803),Ó,"""O"" + ChrW(769)",O-ACUTE to o-acute with underdot
ộ,ChrW(244) + ChrW(803),Ô,ChrW(212),O-CIRCUMFLEX to o-circumflex with underdot
Ö,"""O"" + ChrW(776)",Ò,ChrW(210),O-GRAVE to O-UMLAUT
ö,ChrW(246),ò,ChrW(242),o-grave to o-umlaut
ò,ChrW(242),ö,ChrW(246),o-umlaut to o-grave
p̓,ChrW(112) + ChrW(787),π,ChrW(960),greek lowercase pi to glottalized p
q̓,ChrW(113) + ChrW(787),œ,ChrW(339),small ligature oe to glottalized q
š,ChrW(353),ß,ChrW(223),sharp b to s-hacek
t̓,ChrW(116) + ChrW(787),†,ChrW(8224),dagger to glottalized t (not to be confused with double dagger)
tᶿ,ChrW(116) + ChrW(7615),©,ChrW(169),copyright to t with raised theta
t̓ᶿ,ChrW(116) + ChrW(787) + ChrW(7615),¸,ChrW(184),cedilla to glottalized t with raised theta
t̓ᶿ,ChrW(116) + ChrW(787) + ChrW(7615),˙,ChrW(729),dot accent to glottalized t with raised theta
ù,ChrW(249),ü,ChrW(252),u-umlaut to u-grave
ü,ChrW(252),ù,ChrW(249),u-grave to u-umlaut
ụ̀,ChrW(249) + ChrW(803),Ü,ChrW(220),U-UMLAUT to u-grave with underdot
ụ̂,ChrW(251) + ChrW(803),Û,ChrW(219),U-CIRCUMFLEX to u-circumflex with underdot
Ü,"""U"" + ChrW(776)",Ù,ChrW(217),U-GRAVE to U-UMLAUT
ụ́,ChrW(250) + ChrW(803),¡,ChrW(161),upside down exclamation to u-acute with underdot
w̓,ChrW(119) + ChrW(787),Σ,ChrW(931),GREEK SIGMA to glottalized w (not to be confused with summation)
ʷ,ChrW(695),Ú,ChrW(85) + ChrW(769),U-ACUTE to raised w
ʷ,ChrW(695),ø,ChrW(248),o-slash to raised w
ʷ,ChrW(695),,ChrW(63743),apple symbol to raised w (apple encoding F8FF)
x̌,ChrW(120) + ChrW(780),≈,ChrW(8776),almost equals to x-hacek
X̌,ChrW(88) + ChrW(780),˛,ChrW(731),ogonek to X-HACEK
y̓,ChrW(121) + ChrW(787),¥,ChrW(165),yen to glottalized y
ỳ,ChrW(121) + ChrW(768),ÿ,ChrW(255),y-umlaut to y-grave
Ỳ,"""Y"" + ChrW(768)",Ÿ,ChrW(376),Y-UMLAUT to Y-GRAVE
z̓,ChrW(122) + ChrW(787),Ω,ChrW(937),GREEK OMEGA to glottalized z (not to be confused with ohm sign)
θ,ChrW(952),ƒ,ChrW(402),florin to theta
ƛ,ChrW(411),◊,ChrW(9674),lozenge to lambda with cross
ƛ̓,ChrW(411) + ChrW(787),√,ChrW(8730),sqrt radical to glottalized lambda with cross
ʔ,ChrW(660),÷,ChrW(247),division to glottal stop
ʕ,ChrW(661),≤,ChrW(8804),less equal to pharyngeal voice fricative
’,ChrW(8217),‰,ChrW(8240),per thousand sign to unuhw (not to be confused with percent sign)
¨,ChrW(168),`,ChrW(96),grave to umlaut
¨,ChrW(168),»,ChrW(187),double angle quote right to umlaut
ˀ,ChrW(704),„,ChrW(8222),double base quotes to superscript glottal stop
`,ChrW(96),¨,ChrW(168),umlaut to grave
·,ChrW(183),≥,ChrW(8805),greater equal to middle dot
;,ChrW(59),…,ChrW(8230),ellipsis to semicolon
→,ChrW(8594),≠,ChrW(8800),not equal to right arrow
č,ChrW(269),Δ,ChrW(916),GREEK DELTA to c-hacek (not to be confused with increment)
ɨ,ChrW(616),€,ChrW(8364),euro to barred i
ə́,ChrW(601) + ChrW(769),⁄,ChrW(8260),fraction slash to shwa-acute (not to be confused with any other slash)
ə́,ChrW(601) + ChrW(769),∕,ChrW(8725),division slash to schwa-acute (not to be confused with any other slash)
m̓,ChrW(109) + ChrW(787),µ,ChrW(181),micro symbol to glottalized m (not to be confused with Greek mu)
z̓,ChrW(122) + ChrW(787),Ω,ChrW(8486),ohm sign to glottalized z (not to be confused with Greek Omega)
w̓,ChrW(119) + ChrW(787),∑,ChrW(8721),summation to glottalized w (not to be confused with greek sigma)