APA,APA unicode,orthography,orthography unicode
á,ChrW(225),a,"""a"""
é,ChrW(233),e,"""e"""
í,ChrW(237),i,"""i"""
ó,ChrW(243),o,"""o"""
ú,ChrW(250),u,"""u"""
ậ,ChrW(226) + ChrW(803),a,"""a"""
Ä,ChrW(65) + ChrW(776),a,"""a"""
â,ChrW(226),a,"""a"""
à,ChrW(224),a,"""a"""
ạ̀,ChrW(224) + ChrW(803),a,"""a"""
ạ́,ChrW(225) + ChrW(803),a,"""a"""
à,ChrW(224),a,"""a"""
ä,ChrW(228),a,"""a"""
ë,ChrW(235),e,"""e"""
ẹ́,ChrW(233) + ChrW(803),e,"""e"""
ệ,ChrW(234) + ChrW(803),e,"""e"""
è,ChrW(232) ,e,"""e"""
ẹ́,ChrW(233) + ChrW(803),e,"""e"""
ẹ̀,ChrW(224) + ChrW(803),e,"""e"""
Ë,ChrW(203),e,"""e"""
ə,ChrW(601),ə,ChrW(601)
ə̣́,ChrW(601) + ChrW(803) + ChrW(769),ə,ChrW(601)
ə̂,ChrW(601) + ChrW(770),ə,ChrW(601)
ə́,ChrW(601) + ChrW(769),ə,ChrW(601)
ə̀,ChrW(601) + ChrW(768),ə,ChrW(601)
ə̣̂,ChrW(601) + +ChrW(770) + ChrW(803),ə,ChrW(601)
ə̣̀,ChrW(601) + ChrW(768) + ChrW(803),ə,ChrW(601)
ɛ,ChrW(603),e,"""e"""
ɛ́,ChrW(603) + ChrW(769),e,"""e"""
ì,ChrW(236),i,"""i"""
ï,ChrW(239),i,"""i"""
ị́,ChrW(237) + ChrW(803),i,"""i"""
ị̂,ChrW(238) + ChrW(803),i,"""i"""
ị̀,ChrW(236) + ChrW(803),i,"""i"""
Ï,"""I"" + ChrW(776)",i,"""i"""
ɨ,ChrW(616),i,"""i"""
ɨ̣̀,ChrW(616) + ChrW(803) + ChrW(768),i,"""i"""
ɨ̣́,ChrW(616) + ChrW(803) + ChrW(769),i,"""i"""
ɨ́,ChrW(616) + ChrW(769),i,"""i"""
ɨ̀,ChrW(616) + ChrW(768),i,"""i"""
ɨ̂,ChrW(616) + ChrW(770),i,"""i"""
ọ̀,ChrW(242) + ChrW(803),o,"""o"""
ọ́,ChrW(243) + ChrW(803),o,"""o"""
ộ,ChrW(244) + ChrW(803),o,"""o"""
Ö,"""O"" + ChrW(776)",o,"""o"""
ö,ChrW(246),o,"""o"""
ò,ChrW(242),o,"""o"""
ù,ChrW(249),u,"""u"""
ü,ChrW(252),u,"""u"""
ụ̀,ChrW(249) + ChrW(803),u,"""u"""
ụ̂,ChrW(251) + ChrW(803),u,"""u"""
Ü,"""U"" + ChrW(776)",u,"""u"""
ụ́,ChrW(250) + ChrW(803),u,"""u"""
ỳ,ChrW(121) + ChrW(768),y,"""y"" + ChrW(787)"
Ỳ,"""Y"" + ChrW(768)",y,"""y"" + ChrW(787)"
t̓ᶿ,ChrW(116) + ChrW(787) + ChrW(7615),tth’,"""tth"" + ChrW(700)"
tᶿ,ChrW(116) + ChrW(7615),tth,"""tth"""
θ,ChrW(952),th,"""th"""
x̌ʷ,"""x"" + ChrW(780) + ChrW(695)",xw,"""xw"""
x̌,"""x"" + ChrW(780)",x,"""x"""
sxʷ,"""sx"" + ChrW(695)",s-hw,"""s-hw"""
txʷ,"""tx"" + ChrW(695)",t-hw,"""t-hw"""
sh,"""sh""",s-h,"""s-h"""
tx,"""tx""",t-h,"""t-h"""
č̓,ChrW(269) + ChrW(787),ch’,"""ch"" + ChrW(700)"
č̓,"""c"" + ChrW(780) + ChrW(787)",ch’,"""ch"" + ChrW(700)"
ł,ChrW(322),lh,"""lh"""
š,ChrW(353),sh,"""sh"""
č,ChrW(269),ch,"""ch"""
č,"""c"" + ChrW(780)",ch,"""ch"""
xʷ,"""x"" + ChrW(695)",hw,"""hw"""
ə,ChrW(601),ȸ,ChrW(568)
tl̓,"""t""+ChrW(108) + ChrW(787)",t-l’,"""t-l"" + ChrW(700)"
ƛ̓,ChrW(411) + ChrW(787),tl’,"""tl"" + ChrW(700)"
ts,"""ts""",t-s,"""t-s"""
c̓,ChrW(99) + ChrW(787),ts’,"""ts"" + ChrW(700)"
k̓ʷ,"""k"" + ChrW(787) + ChrW(695)",kw’,"""kw"" + ChrW(700)"
q̓ʷ,"""q"" + ChrW(787) + ChrW(695)",qw’,"""qw"" + ChrW(700)"
u:,"""u:""",oo,"""oo"""
u,"""u""",ou,"""ou"""
qʷ,"""q"" + ChrW(695)",qw,"""qw"""
c,"""c""",ts,"""ts"""
q̓,"""q"" + ChrW(787)",q’,"""q"" + ChrW(700)"
l̓,"""l"" + ChrW(787)",l’,"""l"" + ChrW(700)"
m̓,"""m"" + ChrW(787)",m’,"""m"" + ChrW(700)"
w̓,"""w"" + ChrW(787)",w’,"""w"" + ChrW(700)"
a:,"""a:""",aa,"""aa"""
e:,"""e:""",ee,"""ee"""
i:,"""i:""",ii,"""ii"""
kʷ,"""k"" + ChrW(695)",kw,"""kw"""
k̓,"""k"" + ChrW(787)",k’,"""k"" + ChrW(700)"
p̓,"""p"" + ChrW(787)",p’,"""p"" + ChrW(700)"
t̓,"""t"" + ChrW(787)",t’,"""t"" + ChrW(700)"
m̓,"""m"" + ChrW(787)",m’,"""m"" + ChrW(700)"
n̓,"""n"" + ChrW(787)",n’,"""n"" + ChrW(700)"
l̓,"""l"" + ChrW(787)",l’,"""l"" + ChrW(700)"
l̓,"""l"" + ChrW(787)",’l,"ChrW(700) + ""l"""
w̓,"""w"" + ChrW(787)",w’,"""w"" + ChrW(700)"
y̓,"""y"" + ChrW(787)",y’,"""y"" + ChrW(700)"
ʔ,ChrW(660),’,ChrW(700)
ȸ,ChrW(568),u,"""u"""